block_height,hash,received,confirmed,fees,gas_fee_cap,gas_price,gas_tip_cap,gas_used
20000006,b6b262a02cea7d2ad7099df613adeee8563d4bf84e505d28d2697a89d9cbd855,2024-06-01T22:37:51.54Z,2024-06-01T22:37:59Z,447683645585250,12167876500,12167876500,2000000000,63197
20000006,42996c440fb3d4a5acf216206fc86a34ee2bf90d564aa103b0b386f44d8db820,2024-06-01T22:37:51.561Z,2024-06-01T22:37:59Z,148762703250000,200000000000,200000000000,2000000000,21000
20000007,8bd1a905314e89f61d4ad9d98779b0c4f4f47611d1404a9f7cff27718096c47d,2024-06-01T22:38:11Z,2024-06-01T22:38:11Z,1451422310371824,4714830509,4714830509,1000000,320696
20000007,47c1dd51d0265d9c5b25c9620e07f193458c29a275fd609f7530303762792541,2024-06-01T22:37:57.978Z,2024-06-01T22:38:11Z,802751153274832,7376283042,7376283042,48500000,175528
20000007,6ed4ec902b4826ceec50c8ce6e2f55d7687561a0240c2c920872198ec4702e72,2024-06-01T22:38:11Z,2024-06-01T22:38:11Z,2963962919960754,4524850994,4524850994,0,655041
20000007,129a54ef8dffa4f5e7087eaac0b41901e84a3f87694459fd04f1d55c5a311498,2024-06-01T22:37:52.813Z,2024-06-01T22:38:11Z,806072165435376,5261882340,5261882340,1000000,178104
20000007,56866451edd83c7bb47ff5ff907a04240460c5544fe4f7c0c3ba09a3aa932362,2024-06-01T22:37:57.426Z,2024-06-01T22:38:11Z,836879633151534,5168091912,5168091912,1000000,184911
20000007,f34ca74ec319a7267296b64427e65fb01a93f97c6742121a0bac0601e672ec23,2024-06-01T22:37:57.276Z,2024-06-01T22:38:11Z,481395498979434,7376283042,7376283042,48500000,105261
20000007,30d517c0f7096b1852bcd1a598e02f5afd8cf5dc5614a48137f8b4271d020587,2024-06-01T22:38:04.022Z,2024-06-01T22:38:11Z,2993496039824688,7376283042,7376283042,48500000,654552
20000007,2bc74e31e58ed5385759ec38b3a0bb2f1fca103804309ec8cc7612fe638041f9,2024-06-01T22:38:07.942Z,2024-06-01T22:38:11Z,992372881383918,10869342384,10869342384,9700000,218847
20000007,0d386d358fe1362ccb619cb891e748182b8181e2d6fbd9f31fbe24dafa4807d4,2024-06-01T22:38:02.113Z,2024-06-01T22:38:11Z,1203193574536624,8726764539,8726764539,3000000000,159896
