block_height,date,total_ethereum_supply,blockReward,totalFees,burntFees
23168294,2025-08-18T13:39:23Z,122373866217800000000000000,42242622154194870,58939759435192870,3265467798600000
undefined,undefined,122373866217800000000000000,28130145224405288,undefined,NaN
23182616,2025-08-20T13:33:59Z,122373866217800000000000000,18021305024005167,32286914930424948,2315968761015000
23189784,2025-08-21T13:33:59Z,122373866217800000000000000,34335031323871863,51282684173633224,3351671141994000
23196935,2025-08-22T13:32:11Z,122373866217800000000000000,83867829100936873,90168328822707780,1541266945050000
undefined,undefined,122373866217800000000000000,18019720247608160,undefined,NaN
undefined,undefined,122373866217800000000000000,2402869508221237,undefined,NaN
undefined,undefined,122373866217800000000000000,22321171487151755,undefined,NaN
23225624,2025-08-26T13:36:11Z,122373866217800000000000000,13734825456186119,25963446478650556,3407998250538000
23232769,2025-08-27T13:31:23Z,122373866217800000000000000,29565116863990456,72431356916240180,6442256777586000
23239932,2025-08-28T13:32:11Z,122373866217800000000000000,26529929475013693,32919822661877220,1511278217316000
23247093,2025-08-29T13:30:47Z,122373866217800000000000000,142565329138191230,154702824533568930,1424596635000000
23254240,2025-08-30T13:25:47Z,122373866217800000000000000,17529307960996497,31218381592474440,1492613531262000
23261416,2025-08-31T13:26:23Z,122373866217800000000000000,10679791448238986,15037502305608318,1128369438420000
23268605,2025-09-01T13:32:35Z,122373866217800000000000000,null,958644632110145000,202024490524374000
23275742,2025-09-02T13:33:23Z,122373866217800000000000000,23249999102494509,43514436808640610,5058250580838000
23282896,2025-09-03T13:30:47Z,122373866217800000000000000,22848064375838172,49402231759682744,7281343240668000
23290057,2025-09-04T13:30:47Z,122373866217800000000000000,null,79185981581512110,5086952957268000
